TRKRN Water,TRACKER Water,NORTHWEST Water,SOUTHWEST Water,LGOR Water,HGOR Water,B3 LGOR Water,B1 LGOR Water,B3 MGOR Water,B1 MGOR Water,B3 HGOR Water,B1 HGOR Water,NEW A1 LGOR Water,NEW C1 LGOR Water,NEW B1 LGOR Water,NEW B3 LGOR Water,NEW GENERIC Water,GANADOR Water,MUNSON Water,DISCOVERY Water,PDP Water,NEW B3 LGOR Risk90 Water,NEW B3 LGOR Risk80 Water,NEW B3 LGOR Risk70 Water,NEW B3 LGOR Risk90_8750 Water,NEW B3 LGOR_10k Water,ESTE Water,TRACKER-N-ORIG Water,TRACKER-S-ORIG Water,MUNSON-8750 Water,MUNSON-10k Water
1.733880412,1.511859755,1.755448992,1.268270517,1.088530756,0.890502351,1.0091184,1.162063197,1.030162261,0.568049856,0.923081046,0.338310175,1.385638717,1.385638717,1.385638717,1.30615998,1.345899348,1.30615998,1.310011816,1.755448992,0,1.175543982,1.044927984,0.914311986,1.371467979,1.74154664,5.189755037,1.699627686,1.699627686,1.432825424,0.99038694
1.694821269,1.480511489,1.718772604,1.242250373,1.064455171,0.868846709,0.986385978,1.135967924,1.0068838,0.555174622,0.90215873,0.330619178,1.3478696,1.3478696,1.3478696,1.283530178,1.315699889,1.283530178,1.288938867,1.718772604,0,1.15517716,1.026824142,0.898471124,1.347706686,1.71137357,5.080919999,1.665197632,1.665197632,1.409776886,0.974455501
1.657483012,1.450504935,1.683677542,1.217332329,1.04142146,0.848150606,0.964655113,1.111018723,0.984634011,0.542869996,0.882163788,0.323270084,1.311552101,1.311552101,1.311552101,1.261786951,1.286669526,1.261786951,1.268629688,1.683677542,0,1.135608256,1.009429561,0.883250866,1.324876299,1.682382601,4.976555587,1.632200317,1.632200317,1.387563721,0.959101482
1.621754456,1.421741273,1.650046627,1.193435919,1.019363551,0.828341545,0.943861093,1.087141946,0.963346288,0.531098978,0.863035891,0.316240573,1.27658359,1.27658359,1.27658359,1.240868319,1.258725955,1.240868319,1.249041699,1.650046627,0,1.116781487,0.992694655,0.868607823,1.302911735,1.654491092,4.876391807,1.600546997,1.600546997,1.366139359,0.944292694
1.587533569,1.394156129,1.617803384,1.170508873,0.998220464,0.809371937,0.923944537,1.064269744,0.942959533,0.519827582,0.844719799,0.309510251,1.24289823,1.24289823,1.24289823,1.220734645,1.231816437,1.220734645,1.230135742,1.617803384,0,1.09866118,0.976587716,0.854514251,1.281771377,1.627646193,4.78018051,1.570155762,1.570155762,1.345460968,0.92999953
1.554726969,1.367243197,1.586354955,1.148131439,0.977936665,0.790890771,0.904851096,1.042340071,0.92341768,0.50902461,0.827164954,0.303060408,1.20988876,1.20988876,1.20988876,1.201022731,1.205455745,1.201022731,1.211875195,1.586354955,0,1.080920457,0.960818184,0.840715911,1.261073867,1.601363641,4.687691895,1.54095166,1.54095166,1.325488495,0.916194306
1.5232488,1.341804752,1.556637742,1.126971763,0.958460706,0.773446053,0.886530801,1.021295736,0.90466934,0.498661465,0.81032488,0.296873876,1.178551549,1.178551549,1.178551549,1.182326986,1.180439268,1.182326986,1.194226367,1.556637742,0,1.064094288,0.945861589,0.827628891,1.241443336,1.576435982,4.59871451,1.512865479,1.512865479,1.306185089,0.902851549
1.493019816,1.317345516,1.528072041,1.106618991,0.939745283,0.756695073,0.868937533,1.001084403,0.886667089,0.48871186,0.794156773,0.290934875,1.148290439,1.148290439,1.148290439,1.164290815,1.156290627,1.164290815,1.177157813,1.528072041,0,1.047861733,0.931432652,0.81500357,1.222505356,1.552387753,4.513051321,1.48583313,1.48583313,1.287516357,0.889947487
1.463967285,1.293799434,1.500579754,1.087019113,0.921746703,0.740589978,0.85202896,0.981657347,0.869367236,0.479151493,0.778621202,0.285228814,1.119035874,1.119035874,1.119035874,1.146871905,1.132953889,1.146871905,1.160640039,1.500579754,0,1.032184714,0.917497524,0.802810333,1.2042155,1.52916254,4.430521022,1.459795654,1.459795654,1.269450043,0.877459823
1.436023763,1.271124757,1.474111421,1.068138092,0.90442459,0.725100278,0.83576583,0.962969987,0.852729581,0.469957984,0.763681758,0.279742251,1.090744707,1.090744707,1.090744707,1.130044074,1.110394391,1.130044074,1.144645801,1.474111421,0,1.017039667,0.904035259,0.791030852,1.186546278,1.506725432,4.350954975,1.434698364,1.434698364,1.251956345,0.865367959
