TRKRN Gas,TRACKER Gas,TRACKER-NORTH Gas,TRACKER-SOUTH Gas,LGOR Gas,HGOR Gas,B3 LGOR Gas,B1 LGOR Gas,B3 MGOR Gas,B1 MGOR Gas,B3 HGOR Gas,B1 HGOR Gas,NEW A1 LGOR Gas,NEW C1 LGOR Gas,NEW B1 LGOR Gas,NEW B3 LGOR Gas,NEW GENERIC Gas,GANADOR Gas,MUNSON Gas,DISCOVERY Gas,PDP Gas,NEW B3 LGOR Risk90 Gas,NEW B3 LGOR Risk80 Gas,NEW B3 LGOR Risk70 Gas,NEW B3 LGOR Risk90_8750 Gas,NEW B3 LGOR_10k Gas,ESTE Gas,TRACKER-N-ORIG Gas,TRACKER-S-ORIG Gas,MUNSON-8750 Gas,MUNSON-10k Gas
35.64321204,38.88596094,32.31495313,45.45696875,11.56800971,21.35029867,14.2145884,13.66100921,16.48694602,15.78433163,29.13461498,30.6988707,5.90375562,17.18467753,8.4339366,20.21726768,14.32560214,20.21726768,11.05874688,32.31495313,0,18.19554091,16.17381414,14.15208738,21.22813106,26.95635691,23.32934745,32.31495313,45.45696875,12.09550439,8.360564648
35.66290879,38.07992773,30.99548047,45.164375,11.73984653,20.12616246,14.32986968,14.19138797,15.91573158,15.87597674,27.39411102,28.54221969,5.572767564,16.03696034,7.96109652,18.86701216,13.41405434,18.86701216,11.75258359,30.99548047,0,16.98031094,15.09360973,13.20690851,19.81036277,25.15601621,21.92075206,30.99548047,45.164375,12.85438831,8.885114744
35.74542578,36.83539844,29.85397266,43.81682422,11.91496469,19.06931146,13.90984736,14.11829032,15.53613951,15.99546293,25.90058193,26.74009799,5.281721004,15.05216434,7.54531572,17.70842864,12.62687218,17.70842864,12.5332625,29.85397266,0,15.93758578,14.16674291,12.39590005,18.59385007,23.61123819,20.69363271,29.85397266,43.81682422,13.70825586,9.475318729
35.10766563,35.23319141,28.85689844,41.60948438,12.09134744,18.14565928,13.04855462,13.51872233,15.28091489,16.13392475,24.60192055,25.20693152,5.019469476,14.18291708,7.17067068,16.6857848,11.92822774,16.6857848,13.40648125,28.85689844,0,15.01720632,13.34862784,11.68004936,17.52007404,22.24771307,19.61386184,28.85689844,41.60948438,14.66333887,10.13548411
33.40169461,33.82716797,27.97865625,39.67567969,12.26767241,17.33002568,12.31354091,12.98117277,15.11065905,16.28544367,23.46008277,23.88328506,4.788799596,13.43247697,6.84114228,15.80291408,11.32202818,15.80291408,14.37916406,27.97865625,0,14.22262267,12.64233126,11.06203986,16.59305978,21.07055211,18.65549383,27.97865625,39.67567969,15.72721069,10.87084568
31.48015813,32.58330078,27.19937891,37.96722266,12.44306148,16.60336496,11.67735163,12.49589522,15.00074024,16.44594457,22.44658055,22.72645965,4.581351516,12.76775847,6.54478788,15.02089232,10.7828401,15.02089232,15.45943438,27.19937891,0,13.51880309,12.01671386,10.51462462,15.77193694,20.02785643,17.79843205,27.19937891,37.96722266,16.90875635,11.68754489
29.79529531,31.47504199,26.50339258,36.44669141,12.61693398,15.95097555,11.1201501,12.05513821,14.93497822,16.6125648,21.53960781,21.70492461,4.393254936,12.17397336,6.27607848,14.3223216,10.29920004,14.3223216,16.65664375,26.50339258,0,12.89008944,11.45785728,10.02562512,15.03843768,19.0964288,17.02685783,26.50339258,36.44669141,18.2182041,12.59265163
28.30442994,30.48135059,25.87817383,35.08452734,12.78890722,15.36132069,10.62721012,11.65265642,14.90230798,16.7832507,20.72216873,20.79482021,4.222187676,11.64034377,6.03169668,13.69452208,9.86310938,13.69452208,17.98140469,25.87817383,0,12.32506987,10.95561766,9.586165456,14.37924818,18.25936277,16.32813127,25.87817383,35.08452734,19.66716138,13.59418911
26.97472333,29.58534668,25.3135957,33.85709766,12.9587311,14.82519203,10.18734827,11.28334881,14.89492025,16.54791203,19.98080076,19.9777373,4.063195752,11.14982563,5.80456536,13.11744192,9.46100364,13.11744192,19.4456875,25.3135957,0,11.80569773,10.49395354,9.182209344,13.77331402,17.48992256,15.6920293,25.3135957,33.85709766,21.2687207,14.70120704
25.78046938,28.77332617,24.80136914,32.7452832,13.12625124,14.33515542,9.791900869,10.94301332,14.90715324,15.94975736,19.30467855,19.23922629,3.924019764,10.72497727,5.60574252,12.61762032,9.11168142,12.61762032,21.06291875,24.80136914,0,11.35585829,10.09409626,8.832334224,13.24850134,16.82349376,15.11018997,24.80136914,32.7452832,23.03756738,15.9238561
24.70124067,28.03403516,24.33465625,31.73341406,13.29138048,13.88512941,9.434044756,10.62814412,14.9348115,15.40476419,18.6850077,18.56775326,3.795525804,10.33597158,5.42217972,12.15996656,8.79107314,12.15996656,22.84808125,24.33465625,0,10.9439699,9.727973248,8.511976592,12.76796489,16.21328875,14.57569829,24.33465625,31.73341406,24.99008887,17.27346349
23.72058738,27.35815137,23.90775586,30.80854688,13.45407714,13.47008782,9.108325576,10.33579995,14.97472265,14.90569161,18.11453971,17.9540085,3.672295452,9.966015128,5.24613636,11.72472368,8.48543002,11.72472368,23.4406625,23.90775586,0,10.55225131,9.379778944,8.207306576,12.31095986,15.63296491,14.08278829,23.90775586,30.80854688,25.63822461,17.72146306
22.82510519,26.7378916,23.51588281,29.95990039,13.61433459,13.0858371,8.810322441,10.06348571,15.02445409,14.44659743,17.58725566,17.39037408,3.557889384,9.625384496,5.08269912,11.32398176,8.20334044,11.32398176,22.74221875,23.51588281,0,10.19158358,9.059185408,7.926787232,11.89018085,15.09864235,13.62660881,23.51588281,29.95990039,24.87430176,17.19342998
22.00375514,26.16669434,23.15498828,29.17840039,13.7721623,12.72884679,8.53641585,9.809073848,15.08210563,14.02254924,17.09811043,16.87055828,3.451378728,9.310069312,4.93054104,10.95302272,7.94178188,10.95302272,22.0898625,23.15498828,0,9.857720448,8.762418176,7.667115904,11.50067386,14.60403029,13.2030479,23.15498828,29.17840039,24.16078711,16.70023969
21.24735899,25.63899512,22.82162305,28.45636719,13.66871806,12.39612353,8.283605811,9.570738027,14.86741924,13.62941979,16.64283752,16.38930377,3.351989424,9.017813744,4.78855632,10.60919264,7.69887448,10.60919264,21.47900313,22.82162305,0,9.548273376,8.487354112,7.426434848,11.13965227,14.14559019,12.8085974,22.82162305,28.45636719,23.49265967,16.23842161
20.54821927,25.15004297,22.51283203,27.78725391,13.32364813,12.0851097,8.049385859,9.346896318,14.40520192,13.26372032,16.21780133,15.94219439,3.257399292,8.741349,4.65342756,10.28394,7.46868378,10.28394,20.90565469,22.51283203,0,9.255546,8.227152,7.198758,10.798137,13.71192,12.44024106,22.51283203,27.78725391,22.86555981,15.80496231
19.8998294,24.69575391,22.22606445,27.16544336,13.00035017,11.7936048,7.831642646,9.136178027,13.97858475,12.92248872,15.8198844,15.52547614,3.170240136,8.487943872,4.52891448,9.98581632,7.2573654,9.98581632,20.36632813,22.22606445,0,8.987234688,7.988653056,6.990071424,10.48510714,13.31442176,12.09537418,22.22606445,27.16544336,22.27567139,15.39722401
19.29664965,24.27260254,21.95911523,26.58608984,12.69669186,11.51970484,7.628582051,8.937382969,13.58333816,12.60318348,15.44639651,15.13594915,3.088189776,8.250580216,4.41169968,9.70656496,7.05913232,9.70656496,19.85796875,21.95911523,0,8.735908464,7.765251968,6.794595472,10.19189321,12.94208661,11.77173458,21.95911523,26.58608984,21.71965332,15.01289734
