Date,gas_hsc_pct,gas_waha_pct,gas_all_pct,oil_midland_pct,oil_houston_pct,oil_all_pct,ngl_ethane_pct,ngl_propane_pct,ngl_n_butane_pct,ngl_iso_butane_pct,ngl_nat_gasoline_pct,ngl_all_pct
54270,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54301,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54331,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54362,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54392,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54423,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54454,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54482,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54513,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54543,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54574,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54604,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54635,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54666,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54696,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54727,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54757,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54788,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54819,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54847,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54878,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54908,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54939,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54969,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55000,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55031,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55061,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55092,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
55122,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
