#,SUB-ASSET,Rig Crew #,CAPEX SCENARIO,TARGET,FRAC SIZE,BASE LL FOR CAPEX,PROPNUM,WELL,WELL RANKING,PAD NAME,WELLS ON PAD,DRILL ORDER,TYPE CURVE AREA,High Pressure Gas Trunkline,WI %,NRI %,RESCAT,PERFED LATERAL LENGTH,COMPLETION DESIGN,CURRENT STATUS,TANK BATTERY,AFE,PLANNING & STAKING,PERMITTED,LOCATION BUILDING,SPUD,PAD SPUD,TD,RIG RELEASE (PAD),COMPLETION START,FRAC END,DRILL OUT START,COMPLETION END,PUT ON PRODUCTION,TURNED TO LOE,POST DRILL FILING REQUIREMENTS,1ST OIL,Hedging: Include in BVTH
216,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 55,3,GGGGG,4,3,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46867,46836,46867,46927,46958,46957,46968,46978,46983,47027,47028,47040,47041,47071,47048,47041,
217,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 56,3,GGGGG,4,4,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46877,46846,46877,46937,46968,46967,46978,46978,46983,47027,47028,47040,47041,47071,47058,47041,
218,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 25,3,LLLLL,4,1,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,46977,46946,46977,47037,47068,47067,47078,47108,47113,47157,47158,47170,47171,47201,47158,47171,
219,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 26,3,LLLLL,4,2,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,46987,46956,46987,47047,47078,47077,47088,47108,47113,47157,47158,47170,47171,47201,47168,47171,
220,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 27,3,LLLLL,4,3,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,46997,46966,46997,47057,47088,47087,47098,47108,47113,47157,47158,47170,47171,47201,47178,47171,
221,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 28,3,LLLLL,4,4,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,47007,46976,47007,47067,47098,47097,47108,47108,47113,47157,47158,47170,47171,47201,47188,47171,
222,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 57,3,GGGGG,4,1,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,47107,47076,47107,47167,47198,47197,47208,47238,47243,47287,47288,47300,47301,47331,47288,47301,
223,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 58,3,GGGGG,4,2,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,47117,47086,47117,47177,47208,47207,47218,47238,47243,47287,47288,47300,47301,47331,47298,47301,
224,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 59,3,GGGGG,4,3,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,47127,47096,47127,47187,47218,47217,47228,47238,47243,47287,47288,47300,47301,47331,47308,47301,
225,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 60,3,GGGGG,4,4,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,47137,47106,47137,47197,47228,47227,47238,47238,47243,47287,47288,47300,47301,47331,47318,47301,
